AMC_lineage_names,AMC_id,uuid,CoralNet_LabelID,CoralNet_ShortCode
1.1 Biota > Jellies > Hydromedusae,547,8c6a33bd-5d8c-4d23-8d0b-c4fb995f05f7,,
1.1 Biota > Jellies > Siphonophores,551,5a571876-e5f9-4601-8cb6-e7b07fbb2513,,
1.1 Biota > Macroalgae,552,7d82df0e-16d9-45a7-b65b-f16cfb87b0ff,81,MAL
1.1 Biota > Macroalgae > Encrusting,556,26c4d263-1a25-4a9a-aec3-1dc146c02fe9,321,MAEN
1.1 Biota > Matrix,12825,fd4177cb-3124-49da-984e-56e0e1d21099,2102,BMAT
1.1 Biota > Matrix > Bryozoa / Cnidaria Matrix,7119,64e14508-e2ce-453a-b284-1d6c04ff5df0,,
1.1 Biota > Matrix > Turf/Sediment/Silt matrix,13293,2aa3ed85-dcd8-499d-80a5-769881a0d582,,
1.1 Biota > Molluscs > Bivalves,589,74025069-25a3-44a7-9572-839d3a09ea0d,355,M_Bivalve
1.1 Biota > Molluscs > Cephalopods > Octopods,592,e0538bda-deab-4582-8b9d-5173e08006b4,4182,M_Ceph
1.1 Biota > Molluscs > Chitons,594,5217e631-a373-4246-ae0d-fb4e06bc89ac,354,M_Chiton
1.1 Biota > Molluscs > Gastropods,595,94e60440-7348-484d-b224-1b4e9c8c33e2,353,gastropod
1.1 Biota > Molluscs > Gastropods > Limpets,28416,363928ef-d061-4305-85bd-24d8d6871a79,961,MOLI
1.1 Biota > Molluscs > Gastropods > Nudibranchia,15018,977ba74e-6a42-4110-9a80-ec68a97be7f8,8974,nudoth
1.1 Biota > Sea spiders,605,c924cbeb-e77d-4cd5-b4b3-ca5ceaf10483,548,Pycno
1.1 Biota > Sponges > Crusts > Creeping / ramose,611,9a398d55-054c-4cb1-a24b-7848a65aed7b,293,S_Creep
1.1 Biota > Sponges > Crusts > Encrusting,612,f220cc5a-00ce-43dd-a3f6-155343d14d5a,4185,S_Encr
1.1 Biota > Sponges > Cup-likes > Barrels,615,d3b62c69-cdaf-4f75-9693-90298acfae77,11350,barrel
1.1 Biota > Sponges > Cup-likes > Cups > Cup / goblet,617,5faa8917-63fc-4146-996c-bfb81a9eb5a8,4186,S_CupCmplt
1.1 Biota > Sponges > Cup-likes > Cups > Tables / discs,619,1313f964-47c6-4e8c-a0d3-767ee24266d9,4187,S_Disc
1.1 Biota > Sponges > Cup-likes > Tubes and chimneys,620,946cd4eb-1417-43c5-b14c-d9bee8df092e,11359,S_Chim
1.1 Biota > Sponges > Erect forms > Branching,622,187963d4-38bf-40ca-919e-023cf2bdb3a7,288,S_Er_Br
1.1 Biota > Sponges > Erect forms > Branching > Grey cast like,28442,fa9dcaac-e111-4923-85e6-f1707bf1d53c,11336,S_E_B_G
1.1 Biota > Sponges > Erect forms > Laminar,623,c92b956d-7f8c-4bcb-98f8-4cc5737e7395,289,S_Er_Lam
1.1 Biota > Sponges > Erect forms > Palmate,624,d4e1a08e-7123-47ab-92d3-2ba8533d2842,290,S_Er_Palm
1.1 Biota > Sponges > Erect forms > Simple,625,97aab209-dd6a-4961-90bd-829d5393f539,291,S_Er_Simp
1.1 Biota > Sponges > Erect forms > Simple > Yellow bottlebrush,28440,fb70acd6-a47c-45c3-b418-69114bfc90b1,11361,S_YBB
1.1 Biota > Sponges > Erect forms > Stalked,626,a03d273f-0b65-4bd3-b391-f2541d5a154b,9249,STALKED
1.1 Biota > Sponges > Massive forms > Balls,628,2403ae8d-46de-4e63-b763-b1177e18d009,272,S_Ball
1.1 Biota > Sponges > Massive forms > Balls > Long Spicules,28443,e4313cc1-3cb0-42bb-a6e8-28985b181dd1,11357,SP_long
1.1 Biota > Sponges > Massive forms > Cryptic > Monosyringa longispina,28446,841708ea-67d4-4913-bba5-41fc951ee474,,
1.1 Biota > Sponges > Massive forms > Simple,630,35ba3d26-c825-4344-837d-41dd9d1ecd68,280,S_Amorph
1.1 Biota > Sponges > Massive forms > Simple > Massive Rigatoni,28447,de428e01-5d8e-4636-a66c-b2d264d43488,,
1.1 Biota > Sponges > Massive forms > Simple > Simple Grey Perforated,28441,0ae13507-8b8d-4e65-b493-83972fc3f866,,
1.1 Biota > Sponges > Massive forms > Simple > Spikey orange massive,28337,a9f7cd02-6095-45f5-94df-4149cf4d408e,11358,S_SOM
1.1 Biota > Worms,650,ba4ae9b5-8f9f-4aa1-8ab3-a30bdc506809,231,W
1.1 Biota > Worms > Polychaetes > Scaleworms,28422,68e93e9d-e602-4732-be1a-5fa11bf1acd0,4188,WP_Scale
1.1 Biota > Worms > Polychaetes > Tube worms,657,6995e427-ae22-4134-8a49-d30d69c09bc3,4229,W_Tube
1.1 Biota > Worms > Polychaetes > Tube worms > Spaghetti worms,28421,2ee88135-2c93-40a2-9f5e-857b3f3d40e4,11355,WP_Spag
1.1 Biota > Worms > Polychaetes > Tube worms > Two antennas,28425,10f8e4da-1764-425f-87a6-e385794435b5,,
1.1 Biota > Worms > Pterobranchia,28426,41a7e6b0-c007-4095-9f75-5ca6af0f31ee,,
2 Physical > Substrate > Consolidated (hard) > Boulders,633,9473aa42-574a-4d36-a703-27c0b1f2d0ba,2999,4Sub_Bould
2 Physical > Substrate > Consolidated (hard) > Cobbles,634,38eaa150-2e5f-4458-a784-472bfc698f30,2998,3Sub_Cbble
2 Physical > Substrate > Consolidated (hard) > Rock,635,904f435e-736b-476b-bb98-a1d833e44fff,3003,Sub_Rock
2 Physical > Substrate > Unconsolidated (soft) > Pebble / gravel,637,82ecc53f-597e-441a-ad45-9d67ed0cbc1d,369,2Sub_PbGrv
2 Physical > Substrate > Unconsolidated (soft) > Pebble / gravel > Biologenic,638,069626e9-3007-4a72-9f2e-4f700c577369,4205,5Sub_BioRu
2 Physical > Substrate > Unconsolidated (soft) > Pebble / gravel > Biologenic > Coquina / shellhash,640,8dabade0-57af-431e-a43a-70669a50245e,3370,Sub_BioShl
2 Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm),646,93a15ab7-1f28-4fd7-9696-5a6ee2eaf0e2,801,1Sub_Fine
Unscorable,6835,2a00a85e-6675-4d69-ab4f-197992dcead7,4197,Unscorable
,,,4313,NoID
,,,4198,NoID_ExpOp
,,,4199,NoID_TBD
